API_NUMBER,qi,di,b,sqrt_error,skipped_days,TimeStamp
5123392030000,438.88234,0.00326,0.43095,23.26816717,12,2/11/2019 23:04
5123392090000,365.54638,0.04975,1.18281,13.37049285,0,2/11/2019 23:04
5123392100000,225.04085,0.01476,0.89317,7.621830628,0,2/11/2019 23:04
5123392230000,482.06382,0.01208,0.9832,20.65263247,32,2/11/2019 23:04
5123375730000,50.70556,0.00366,1.12441,6.051739325,0,2/11/2019 23:04
5123377920000,264.05167,0.0189,0.89901,6.772056229,19,2/11/2019 23:05
5123378070000,299.09141,0.03211,1.13963,7.664072393,0,2/11/2019 23:05
5123378210000,327.5129,0.00324,0.63966,62.52108681,13,2/11/2019 23:05
5123379280000,339.02555,0.0095,0.8967,12.09220103,0,2/11/2019 23:05
5123379790000,355.39963,0.01373,1.08737,14.21299402,8,2/11/2019 23:05
5123379940000,246.38891,0.00824,0.98306,6.745959807,0,2/11/2019 23:05
5123380140000,430.65262,0.00999,0.90891,35.3292953,59,2/11/2019 23:06
5123380310000,446.79242,0.00953,0.64618,37.35554883,21,2/11/2019 23:07
5123381310000,353.51922,0.00858,0.67854,7.560359864,25,2/11/2019 23:08
5123381640000,316.61553,0.00952,0.79197,7.158631636,5,2/11/2019 23:08
5123381660000,449.32784,0.06443,1.32413,14.11956761,0,2/11/2019 23:08
5123381680000,676.45999,0.04184,1.37348,28.76656918,0,2/11/2019 23:08
5123381750000,521.0768,0.00583,0.35632,18.40078508,0,2/11/2019 23:08
5123365180000,58.36529,0.00539,1.33957,2.846082428,21,2/11/2019 23:08
5123366230000,671.88656,0.009,0.70759,26.11455687,82,2/11/2019 23:09
5123366320000,495.95512,0.04179,1.31695,20.15358998,0,2/11/2019 23:09
5123366700000,195.10579,0.0048,0.73194,40.51166424,0,2/11/2019 23:10
5123366890000,406.36333,0.01337,0.90546,7.999386165,25,2/11/2019 23:10
5123367940000,523.81598,0.02016,0.79852,12.68891802,42,2/11/2019 23:10
5123368120000,484.74223,0.01236,1.06598,10.54171992,16,2/11/2019 23:10
5123368140000,389.98927,0.01707,1.33749,15.067485,18,2/11/2019 23:11
5123370010000,148.64224,0.004,0.60413,19.40378919,37,2/11/2019 23:11
5123371330000,240.61792,0.00528,0.4328,12.09757503,0,2/11/2019 23:13
5123371910000,182.35895,0.00333,0.81208,8.578578089,23,2/11/2019 23:13
5123372130000,608.35316,0.10515,1.67668,12.58432919,33,2/11/2019 23:14
5123372280000,426.12175,0.00593,0.78228,10.16124478,0,2/11/2019 23:14
5123373090000,106.44826,0.00901,1.38792,3.242772617,12,2/11/2019 23:14
5123373240000,420.99897,0.04272,1.18352,10.32173774,0,2/11/2019 23:14
5123374400000,470.42103,0.0083,0.69917,20.98206101,56,2/11/2019 23:14
5123357440000,2016.54451,0.2378,1.17492,90.41472965,0,2/11/2019 23:15
5123357650000,377.97505,0.02139,1.15423,17.52009529,11,2/11/2019 23:15
5123358330000,236.44665,0.01075,1.18149,7.542597569,0,2/11/2019 23:15
5123358430000,327.74264,0.00593,0.87322,10.08031454,0,2/11/2019 23:15
5123358650000,317.06006,0.0122,0.96259,8.745030536,21,2/11/2019 23:16
5123358810000,485.53164,0.02634,1.4062,13.83140188,12,2/11/2019 23:16
5123359450000,501.20979,0.00932,0.81637,14.10136021,30,2/11/2019 23:16
5123359460000,455.08467,0.00411,0.51476,17.12152681,31,2/11/2019 23:17
5123359720000,360.95392,0.00675,0.97048,9.470529256,12,2/11/2019 23:17
5123359800000,592.5575,0.01027,1.12915,11.99893118,22,2/11/2019 23:17
5081077660100,19.32986,0.00839,2,1.562418613,0,2/11/2019 23:18
5123310160000,38.43426,0.0027,2,5.328575808,0,2/11/2019 23:18
5123362660000,122.74811,0.01254,0.97115,5.998614613,0,2/11/2019 23:19
5123363200000,349.27127,0.01871,1.08799,10.01515643,0,2/11/2019 23:19
5123363640000,458.15839,0.02202,1.22468,14.97127602,9,2/11/2019 23:19
5123363810000,406.84099,0.02481,1.03605,12.59275968,0,2/11/2019 23:20
5123363850000,561.90808,0.00529,0.41244,17.21197158,60,2/11/2019 23:20
